,归属行名,创建机构名称,分级结果,客户号,所占本行百分比
180,中国银行德阳黄河新区支行,中国银行大邑支行营业部,A1,1,100.0%
181,中国银行德阳黄河新区支行,中国银行天府新区华新中街支行,A1,1,50.0%
182,中国银行德阳黄河新区支行,中国银行天府新区华新中街支行,A3,1,50.0%
183,中国银行德阳黄河新区支行,中国银行天府新区华阳支行,A1,1,50.0%
184,中国银行德阳黄河新区支行,中国银行天府新区华阳支行,C,1,50.0%
185,中国银行德阳黄河新区支行,中国银行天府新区牧华支行,A1,1,100.0%
186,中国银行德阳黄河新区支行,中国银行天水分行营业部,A3,1,100.0%
187,中国银行德阳黄河新区支行,中国银行天津市分行银行卡部,A1,1,100.0%
188,中国银行德阳黄河新区支行,中国银行天津新开路支行,A3,1,100.0%
189,中国银行德阳黄河新区支行,中国银行天津汉沽支行营业部,A1,1,100.0%
190,中国银行德阳黄河新区支行,中国银行天津河西支行营业部,A1,1,100.0%
191,中国银行德阳黄河新区支行,中国银行太原千峰南路支行,A1,1,100.0%
192,中国银行德阳黄河新区支行,中国银行太康支行营业部,A1,1,100.0%
193,中国银行德阳黄河新区支行,中国银行奉化支行营业部,A2,1,100.0%
194,中国银行德阳黄河新区支行,中国银行奎屯市支行营业部,A1,1,100.0%
195,中国银行德阳黄河新区支行,中国银行如皋丁堰支行,A1,1,100.0%
196,中国银行德阳黄河新区支行,中国银行威海商贸城支行,A1,1,100.0%
197,中国银行德阳黄河新区支行,中国银行威海山大支行,A1,1,100.0%
198,中国银行德阳黄河新区支行,中国银行威远人民路支行,A3,1,100.0%
199,中国银行德阳黄河新区支行,中国银行威远南塔山支行,A1,1,100.0%
200,中国银行德阳黄河新区支行,中国银行威远支行营业部,A1,1,100.0%
201,中国银行德阳黄河新区支行,中国银行威远顺城街支行,A1,1,100.0%
202,中国银行德阳黄河新区支行,中国银行宁波姜山支行,A1,1,100.0%
203,中国银行德阳黄河新区支行,中国银行宁波孔浦支行,A1,1,100.0%
204,中国银行德阳黄河新区支行,中国银行宁波新碶支行,A1,1,100.0%
205,中国银行德阳黄河新区支行,中国银行宁波洞桥支行,A1,1,100.0%
206,中国银行德阳黄河新区支行,中国银行宁海淮河路支行,A1,2,100.0%
207,中国银行德阳黄河新区支行,中国银行宁海跃龙支行,A1,1,100.0%
208,中国银行德阳黄河新区支行,中国银行安县支行营业部,A1,1,100.0%
209,中国银行德阳黄河新区支行,中国银行安岳支行营业部,A1,1,100.0%
210,中国银行德阳黄河新区支行,中国银行安州五路口支行,A3,2,100.0%
211,中国银行德阳黄河新区支行,中国银行安徽省分行银行卡部,A1,1,100.0%
212,中国银行德阳黄河新区支行,中国银行安阳霍家村支行,A3,1,100.0%
213,中国银行德阳黄河新区支行,中国银行定兴支行,A3,1,100.0%
214,中国银行德阳黄河新区支行,中国银行宜兴屺亭支行,A1,1,100.0%
215,中国银行德阳黄河新区支行,中国银行宜宾五粮液大道支行,A1,1,100.0%
216,中国银行德阳黄河新区支行,中国银行宜宾分行营业部,A1,1,100.0%
217,中国银行德阳黄河新区支行,中国银行宜宾南岸支行,A1,1,100.0%
218,中国银行德阳黄河新区支行,中国银行富顺支行营业部,A1,1,100.0%
219,中国银行德阳黄河新区支行,中国银行射洪太和大道北段支行,A1,1,100.0%
220,中国银行德阳黄河新区支行,中国银行射洪支行营业部,A1,1,100.0%
221,中国银行德阳黄河新区支行,中国银行尚志支行营业部,A1,1,100.0%
222,中国银行德阳黄河新区支行,中国银行峨眉支行营业部,A2,1,100.0%
223,中国银行德阳黄河新区支行,中国银行峨眉西南交大支行,A1,3,100.0%
224,中国银行德阳黄河新区支行,中国银行崇州支行营业部,A1,1,50.0%
225,中国银行德阳黄河新区支行,中国银行崇州支行营业部,C,1,50.0%
226,中国银行德阳黄河新区支行,中国银行崇州江源路支行,A1,1,100.0%
227,中国银行德阳黄河新区支行,中国银行崇州滨江路支行,A1,2,100.0%
228,中国银行德阳黄河新区支行,中国银行嵊州开发区支行,A1,1,100.0%
229,中国银行德阳黄河新区支行,中国银行嵊州支行营业部,A1,1,100.0%
230,中国银行德阳黄河新区支行,中国银行巴中分行营业部,A1,2,100.0%
231,中国银行德阳黄河新区支行,中国银行巴中商业街支行,A3,1,100.0%
232,中国银行德阳黄河新区支行,中国银行常州洛阳支行,A3,1,100.0%
233,中国银行德阳黄河新区支行,中国银行常州西环路支行,A1,1,100.0%
234,中国银行德阳黄河新区支行,中国银行常熟招商城支行,C,1,100.0%
235,中国银行德阳黄河新区支行,中国银行平湖东湖支行,A1,1,100.0%
236,中国银行德阳黄河新区支行,中国银行平顶山建华支行,A3,1,100.0%
237,中国银行德阳黄河新区支行,中国银行广东省分行银行卡部,A1,2,100.0%
238,中国银行德阳黄河新区支行,中国银行广元分行营业部,A1,2,66.66666666666666%
239,中国银行德阳黄河新区支行,中国银行广元分行营业部,A3,1,33.33333333333333%
240,中国银行德阳黄河新区支行,中国银行广元北街支行,A3,1,100.0%
241,中国银行德阳黄河新区支行,中国银行广元莲花路支行,A1,1,100.0%
242,中国银行德阳黄河新区支行,中国银行广元郑州路支行,A1,1,100.0%
243,中国银行德阳黄河新区支行,中国银行广安世贸支行,A1,1,100.0%
244,中国银行德阳黄河新区支行,中国银行广安金安大道支行,A1,1,100.0%
245,中国银行德阳黄河新区支行,中国银行广州万顷沙支行,A1,1,100.0%
246,中国银行德阳黄河新区支行,中国银行广州丰田支行,A1,1,100.0%
247,中国银行德阳黄河新区支行,中国银行广州从化太平支行,A1,1,100.0%
248,中国银行德阳黄河新区支行,中国银行广州员村支行,A1,1,100.0%
249,中国银行德阳黄河新区支行,中国银行广州大岭支行,A1,1,100.0%
250,中国银行德阳黄河新区支行,中国银行广州天河东路支行,A1,1,100.0%
251,中国银行德阳黄河新区支行,中国银行广州天河南一路支行,A1,1,100.0%
252,中国银行德阳黄河新区支行,中国银行广州明月支行,A1,1,100.0%
253,中国银行德阳黄河新区支行,中国银行广州番禺大学城支行,A1,1,100.0%
254,中国银行德阳黄河新区支行,中国银行广州远景路支行,A1,1,100.0%
255,中国银行德阳黄河新区支行,中国银行广汉广东路支行,A1,7,77.77777777777779%
256,中国银行德阳黄河新区支行,中国银行广汉广东路支行,A3,2,22.22222222222222%
257,中国银行德阳黄河新区支行,中国银行广汉支行营业部,A1,5,83.33333333333334%
258,中国银行德阳黄河新区支行,中国银行广汉支行营业部,A3,1,16.666666666666664%
259,中国银行德阳黄河新区支行,中国银行广汉武昌路支行,A1,3,75.0%
260,中国银行德阳黄河新区支行,中国银行广汉武昌路支行,A3,1,25.0%
261,中国银行德阳黄河新区支行,中国银行广汉浏阳路东一段支行,A1,5,71.42857142857143%
262,中国银行德阳黄河新区支行,中国银行广汉浏阳路东一段支行,A3,1,14.285714285714285%
263,中国银行德阳黄河新区支行,中国银行广汉浏阳路东一段支行,C,1,14.285714285714285%
264,中国银行德阳黄河新区支行,中国银行广西壮族自治区分行营业部,A1,1,100.0%
265,中国银行德阳黄河新区支行,中国银行库尔勒市巴音东路支行,A3,1,100.0%
266,中国银行德阳黄河新区支行,中国银行廊坊市燕郊开发区市场街支行,A1,1,100.0%
267,中国银行德阳黄河新区支行,中国银行廊坊市龙河支行,A1,1,100.0%
268,中国银行德阳黄河新区支行,中国银行开封分行营业部,A1,1,100.0%
269,中国银行德阳黄河新区支行,中国银行开封西环路支行,A1,1,100.0%
270,中国银行德阳黄河新区支行,中国银行彭州南大街支行,A1,3,100.0%
271,中国银行德阳黄河新区支行,中国银行彭州延秀街支行,A1,4,80.0%
272,中国银行德阳黄河新区支行,中国银行彭州延秀街支行,C,1,20.0%
273,中国银行德阳黄河新区支行,中国银行彭州支行营业部,A1,3,75.0%
274,中国银行德阳黄河新区支行,中国银行彭州支行营业部,A3,1,25.0%
275,中国银行德阳黄河新区支行,中国银行彭州金彭东路支行,A1,2,100.0%
276,中国银行德阳黄河新区支行,中国银行彭州长江路支行,A1,1,50.0%
277,中国银行德阳黄河新区支行,中国银行彭州长江路支行,A3,1,50.0%
278,中国银行德阳黄河新区支行,中国银行徐州矿大支行,A1,1,100.0%
279,中国银行德阳黄河新区支行,中国银行德阳凯江路支行,A1,130,84.4155844155844%
280,中国银行德阳黄河新区支行,中国银行德阳凯江路支行,A2,4,2.5974025974025974%
281,中国银行德阳黄河新区支行,中国银行德阳凯江路支行,A3,19,12.337662337662337%
282,中国银行德阳黄河新区支行,中国银行德阳凯江路支行,B5,1,0.6493506493506493%
283,中国银行德阳黄河新区支行,中国银行德阳分行,A1,7,70.0%
284,中国银行德阳黄河新区支行,中国银行德阳分行,A3,3,30.0%
285,中国银行德阳黄河新区支行,中国银行德阳分行营业部,A1,320,86.25336927223721%
286,中国银行德阳黄河新区支行,中国银行德阳分行营业部,A2,5,1.3477088948787064%
287,中国银行德阳黄河新区支行,中国银行德阳分行营业部,A3,43,11.590296495956872%
288,中国银行德阳黄河新区支行,中国银行德阳分行营业部,C,3,0.8086253369272237%
289,中国银行德阳黄河新区支行,中国银行德阳岷山路支行,A1,35,83.33333333333334%
290,中国银行德阳黄河新区支行,中国银行德阳岷山路支行,A2,1,2.380952380952381%
291,中国银行德阳黄河新区支行,中国银行德阳岷山路支行,A3,5,11.904761904761903%
292,中国银行德阳黄河新区支行,中国银行德阳岷山路支行,C,1,2.380952380952381%
293,中国银行德阳黄河新区支行,中国银行德阳岷江西路支行,A1,59,88.05970149253731%
294,中国银行德阳黄河新区支行,中国银行德阳岷江西路支行,A2,1,1.4925373134328357%
295,中国银行德阳黄河新区支行,中国银行德阳岷江西路支行,A3,4,5.970149253731343%
